NoName,Address,City,State,Zip,id,link,name,phone,AUTO_UNIQUE_ID_2017-12-10_leogodin217_dsst-locations,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType
0,"2221 E. NORTHERN LIGHTS, SUITE 120",ANCHORAGE,AK,99508,9397,http://chartercollege.edu/,CHARTER COLLEGE,907-777-1324,1,USCGeocoder,31,1,4.1,,f084dd76-6842-4c03-99ea-29210ff041b7,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,94.0828402366864,FeatureClassBased,ReturnAll,,AddressPoint,,,0,61.1962224,-149.8397017,Relaxed;Soundex
1,156 COLLEGE ROAD,SOLDOTNA,AK,99669,8139,http://www.kpc.alaska.edu/kpc/,KENAI PENINSULA COLLEGE,907) 262-0327,2,USCGeocoder,27,1,4.1,,76a51da6-12e5-4e70-830e-a00bd5b52aad,0,AddressPoint,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,Parcel,100,FeatureClassBased,ReturnAll,,AddressPoint,,,0,60.4861147,-151.1279929,Exact
2,117 BENNY BENSON DRIVE,KODIAK,AK,99615,9664,http://www.koc.alaska.edu/,KODIAK COLLEGE,907-486-1211,3,USCGeocoder,114,1,4.1,,526c39fb-9e69-40d0-959e-967595117a8c,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,22218.2513112864,LinearInterpolationAddressRange,StreetSegment,100,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,57.8076993972596,-152.367891207214,Exact
3,8295 E COLLEGE DR,PALMER,AK,99645,8578,http://www.matsu.alaska.edu/,MATANUSKA-SUSITNA COLLEGE,907) 745-9713,4,USCGeocoder,385,1,4.1,,4510b4ca-21ff-4667-9beb-6fc8abca6f5f,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2393.37261094479,LinearInterpolationAddressRange,StreetSegment,98.9940828402367,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,61.5794069226687,-149.243216813988,Relaxed
4,"EIELSON AIR FORCE BASE, EDUCATION CENTER, 2631 WABASH AVE. ROOM 204",EIELSON,AK,99702,7154,http://www.uaf.edu/,UNIVERSITY OF ALASKA,907-474-5277,5,USCGeocoder,1176,1,4.1,,95c82e40-2814-4e02-95b4-33ec3cf7a75c,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,64.653581,-147.085013,Exact
5,"3901 OLD SEWARD HIGHWAY
UNIVERSITY CENTER, ROOM 112",ANCHORAGE,AK,99503,9043,http://www.uaa.alaska.edu/advising-testing/testing-and-assessment/index.cfm,UNIVERSITY OF ALASKA,907-786-4525,6,USCGeocoder,1349,1,4.1,,6d65a164-ef9c-4f6f-928f-a4e528a93eb0,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,61.193435,-149.888062,Exact
6,"314 S. CHANDALAR ST.GRUENING BLDG., ROOM 211",FAIRBANKS,AK,99775,9349,http://www.uaf.edu/testing/,UNIVERSITY OF ALASKA,907) 474-5277,7,USCGeocoder,245,1,4.1,,4b093381-2d93-44fc-92b8-b90d066340e4,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,64.817129,-147.878379,Exact
7,UAF CTC 604 BARNETTE STREET,FAIRBANKS,AK,99701,8312,https://www.ctc.uaf.edu/,"UNIVERSITY OF ALASKA FAIRBANKS, COMMUNITY AND TECHNICAL COLLEGE",907) 455-2851,8,USCGeocoder,4,1,4.1,,4f8579cf-deb5-40bc-8b8a-47fc083427cd,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,64.836296,-147.715406,Exact
8,4391 NEELY RD,FORT WAINWRIGHT,WA,99703,7373,http://www.ctc.uaf.edu/,"UNIVERSITY OF ALASKA FT WAINWRIGHT, COMMUNITY AND TECHNICAL COLLEGE",907) 356-3826,9,USCGeocoder,151,1,4.1,,4681ddaa-ccdf-4c6e-96da-4acc187d8ac3,9,AddressZIPCentroid,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,ArealInterpolation,0,ArealInterpolationGeometricCentroid,USPSZip,100,FeatureClassBased,ReturnAll,,USPSZipAreaCentroid,,,0,64.821983,-147.635602,Exact
9,2600 SEVENTH AVENUE,KETCHIKAN,AK,5798,8295,http://www.ketch.alaska.edu/,UNIVERSITY OF ALASKA SOUTHEAST,907-225-6171,10,USCGeocoder,1158,1,4.1,,3e217fec-9535-4bb6-8c6c-440c9c546c18,98,Unknown,Success,LOCATION_TYPE_STREET_ADDRESS,Kilometers,ArealInterpolation,5445453.103,ArealInterpolationGeometricCentroid,State,100,FeatureClassBased,ReturnAll,,StateCentroid,,,0,61.3253500000001,-154.56505,Exact
