,Address,City,State,Zip,id,link,name,phone
0,"2221 E. NORTHERN LIGHTS, SUITE 120",ANCHORAGE,AK,99508,9397,http://chartercollege.edu/,CHARTER COLLEGE,907-777-1324
1,156 COLLEGE ROAD,SOLDOTNA,AK,99669,8139,http://www.kpc.alaska.edu/kpc/,KENAI PENINSULA COLLEGE,907) 262-0327
2,117 BENNY BENSON DRIVE,KODIAK,AK,99615,9664,http://www.koc.alaska.edu/,KODIAK COLLEGE,907-486-1211
3,8295 E COLLEGE DR,PALMER,AK,99645,8578,http://www.matsu.alaska.edu/,MATANUSKA-SUSITNA COLLEGE,907) 745-9713
4,"EIELSON AIR FORCE BASE, EDUCATION CENTER, 2631 WABASH AVE. ROOM 204",EIELSON,AK,99702,7154,http://www.uaf.edu/,UNIVERSITY OF ALASKA,907-474-5277
5,"3901 OLD SEWARD HIGHWAYUNIVERSITY CENTER, ROOM 112",ANCHORAGE,AK,99503,9043,http://www.uaa.alaska.edu/advising-testing/testing-and-assessment/index.cfm,UNIVERSITY OF ALASKA,907-786-4525
6,"314 S. CHANDALAR ST.GRUENING BLDG., ROOM 211",FAIRBANKS,AK,99775,9349,http://www.uaf.edu/testing/,UNIVERSITY OF ALASKA,907) 474-5277
7,UAF CTC 604 BARNETTE STREET,FAIRBANKS,AK,99701,8312,https://www.ctc.uaf.edu/,"UNIVERSITY OF ALASKA FAIRBANKS, COMMUNITY AND TECHNICAL COLLEGE",907) 455-2851
8,4391 NEELY RD,FORT WAINWRIGHT,WA,99703,7373,http://www.ctc.uaf.edu/,"UNIVERSITY OF ALASKA FT WAINWRIGHT, COMMUNITY AND TECHNICAL COLLEGE",907) 356-3826
9,2600 SEVENTH AVENUE,KETCHIKAN,AK,5798,8295,http://www.ketch.alaska.edu/,UNIVERSITY OF ALASKA SOUTHEAST,907-225-6171
10,11066 AUKE LAKE WAY,JUNEAU,AK,99801,7870,http://www.uas.alaska.edu/,UNIVERSITY OF ALASKA SOUTHEAST - JUNEAU,907) 796-6348
11,7801 E. 32ND AVENUE,ANCHORAGE,AK,99504,7105,http://www.wbu.edu/colleges-in-anchorage/,WAYLAND BAPTIST UNIVERSITY,907-333-2277
12,4900 MERIDIAN ST,NORMAL,AL,35762,9234,http://www.aamu.edu/,ALABAMA A&M; UNIVERSITY,256-372-5635
13,300 NORTH BEATY STREET,ATHENS,AL,35611,9048,http://www.athens.edu/,ATHENS STATE UNIVERSITY,256-233-6540
14,"ARMY EDUCATION CENTER , BLDG 3222",REDSTONE ARSENAL,AR,35898,7200,http://www.ccis.edu/nationwide/redstone/,COLUMBIA COLLEGE,256-881-6181
15,5345 ATLANTA HIGHWAY,MONTGOMERY,AL,36109,8036,http://www.faulkner.edu/,FAULKNER UNIVERSITY,334-386-7247
16,7000 ADVENTIST BOULEVARD,HUNTSVILLE,AL,35896,8321,http://www.oakwood.edu/,OAKWOOD COLLEGE,256-726-7134
17,"SHARP-DEAN SCHOOL OF CONTINUING STUDIES, INC",1910 NOBLE STREET ,NO,2101,8812,256-238-0466,"SHARP-DEAN SCHOOL OF CONTINUING STUDIES, INC","ANNISTON, AL   36201"
18,4000 DAUPHIN STREET,MOBILE,AL,36608,8605,http://www.shc.edu/,SPRING HILL COLLEGE,251-380-3069
19,"4955 CORPORATE DRIVE, SUITE 200",HUNTSVILLE,AL,35805,8693,http://www.strayer.edu/,STRAYER UNIVERSITY,256-665-9729
20,"3570 GRANDVIEW PARKWAY, STE 200",BIRMINGHAM,AL,35243,8430,http://www.strayer.edu/,STRAYER UNIVERSITY,205-453-6329
21,301 SPARKMAN DR. NW WILSON HALL ROOM 202,HUNTSVILLE,AL,35899,9462,http://www.uah.edu/pcs/testing-certification-services,THE UNIVERSITY OF ALABAMA IN HUNTSVILLE,256) 824-6373
22,100 UNIVERSITY PARK,TROY,AL,36082,9344,http://www.troy.edu/,TROY UNIVERSITY,334-808-6219
23,"231 MONTGOMERY STREETWHITLEY HALL, ROOM 431",MONTGOMERY,AL,3507,8627,http://www.troy.edu/,TROY UNIVERSITY,334-241-9532
24,501 UNIVERSITY DRIVE,DOTHAN,AL,36303,9402,http://www.troy.edu/,TROY UNIVERSITY,334-983-6556 X1286
25,4502 KINGSMAN STREET,FORT RUCKER,RU,36362,7187,http://www.troy.edu/,TROY UNIVERSITY,334-598-2443
26,"205 STUDENT SERVICES CENTER, 801 CAMPUS DRIVE",TUSCALOOSA,AL,0108,9348,http://www.ua.edu/,UNIVERSITY OF ALABAMA,205-348-6000
27,"936 BUILDING, 170 2ND AVENUE SOUTH",BIRMINGHAM,AL,1150,9948,http://www.uab.edu/testing/,UNIVERSITY OF ALABAMA AT BIRMINGHAM,205-934-3704
28,"1 HARRISON PLAZATHE COMMONS BUILDING, ROOM 214",FLORENCE,AL,35634,8619,http://www.una.edu/,UNIVERSITY OF NORTH ALABAMA,256)765-4773
29,"20 NORTH PINE STREET, BUILDING 501",MAXWELL AFB,AF,36112,7354,http://www.wbu.edu/,WAYLAND BAPTIST UNIVERSITY,334-953-3637
30,"1490 VANDENBERG BLVD, SUITE 115",JACKSONVILLE,AR,72099,7125,http://www.asub.edu/academic_programs/support/registrar/,ARKANSAS STATE UNIVERSITY - LRAFB CENTER,501) 988-4151
