,city,id,links,name,phone_numbers,state,street_address,zip_code
0,ANCHORAGE,9397,['http://chartercollege.edu/'],CHARTER COLLEGE,['907-777-1324'],AK,"2221 E. NORTHERN LIGHTS, SUITE 120",99508
1,SOLDOTNA,8139,['http://www.kpc.alaska.edu/kpc/'],KENAI PENINSULA COLLEGE,['(907) 262-0327'],AK,156 COLLEGE ROAD,99669
2,KODIAK,9664,['http://www.koc.alaska.edu/'],KODIAK COLLEGE,['907-486-1211'],AK,117 BENNY BENSON DRIVE,99615
3,PALMER,8578,['http://www.matsu.alaska.edu/'],MATANUSKA-SUSITNA COLLEGE,['(907) 745-9713'],AK,8295 E COLLEGE DR,99645
4,ANCHORAGE,9043,['http://www.uaa.alaska.edu/advising-testing/testing-and-assessment/index.cfm'],UNIVERSITY OF ALASKA,['907-786-4525'],AK,3901 OLD SEWARD HIGHWAY,99503
5,FAIRBANKS,9349,['http://www.uaf.edu/testing/'],UNIVERSITY OF ALASKA,['(907) 474-5277'],AK,314 S. CHANDALAR ST.,99775
6,EIELSON,7154,['http://www.uaf.edu/'],UNIVERSITY OF ALASKA,['907-474-5277'],AK,"EIELSON AIR FORCE BASE, EDUCATION CENTER, 2631 WABASH AVE. ROOM 204",99702
7,FAIRBANKS,8312,['https://www.ctc.uaf.edu/'],"UNIVERSITY OF ALASKA FAIRBANKS, COMMUNITY AND TECHNICAL COLLEGE",['(907) 455-2851'],AK,UAF CTC 604 BARNETTE STREET,99701
8,FORT WAINWRIGHT,7373,['http://www.ctc.uaf.edu/'],"UNIVERSITY OF ALASKA FT WAINWRIGHT, COMMUNITY AND TECHNICAL COLLEGE",['(907) 356-3826'],AK,4391 NEELY RD,99703
9,KETCHIKAN,8295,['http://www.ketch.alaska.edu/'],UNIVERSITY OF ALASKA SOUTHEAST,['907-225-6171'],AK,2600 SEVENTH AVENUE,99901
10,JUNEAU,7870,['http://www.uas.alaska.edu/'],UNIVERSITY OF ALASKA SOUTHEAST - JUNEAU,['(907) 796-6348'],AK,11066 AUKE LAKE WAY,99801
